Abdomen, Acute	C23.888.821.030.249
Adrenal Cortex Diseases	C19.053.098
Adrenal Cortex Neoplasms	C19.344.078.265
Adrenal Gland Diseases	C19.053
Adrenal Gland Neoplasms	C19.344.078
Adrenal Hyperplasia, Congenital	C13.351.875.253.129.500
Adrenal Insufficiency	C19.053.500
Adrenocortical Adenoma	C19.344.078.265.500
Adrenocortical Carcinoma	C19.344.078.265.750
Adrenocortical Hyperfunction	C19.053.800
Adrenogenital Syndrome	C13.351.875.253.129
Adrenoleukodystrophy	C10.228.140.695.625.250
Affective Disorders, Psychotic	F03.600.150
Affective Symptoms	F01.145.126.100
Afibrinogenemia	C15.378.100.141.072
Agammaglobulinemia	C15.604.515.032
Aggression	F01.145.126.125
Aggressive Periodontitis	C07.465.714.533.161
Agoraphobia	F03.080.100
AIDS-Associated Nephropathy	C13.351.968.419.050
AIDS Dementia Complex	F03.087.400.050
AIDS-Related Complex	C20.673.480.080
AIDS-Related Opportunistic Infections	C20.673.480.100
Airway Obstruction	C08.618.846.185
Airway Remodeling	G09.772.029
Akathisia, Drug-Induced	C23.888.592.350.600.500
Alagille Syndrome	C14.240.400.044
Albinism	C11.270.040
Albinism, Oculocutaneous	C11.270.040.545
Albuminuria	C23.888.942.750.269
Alcohol Abstinence	F01.145.317.134
Alcohol Drinking	F01.145.317.269
Alcoholic Intoxication	F03.900.100.300
Alcohol-Induced Disorders	C25.775.100.087
Alcoholism	F03.900.100.350
Alcohol-Related Disorders	F03.900.100
Alcohol Withdrawal Delirium	F03.900.100.100
Alcohol Withdrawal Seizures	C25.775.835.500
Alkalosis	C18.452.076.354
Alkaptonuria	C16.320.565.100.187
Alopecia Areata	C17.800.329.937.122.147
Alopecia	C23.300.035
Altitude Sickness	C08.618.020
Alveolar Bone Loss	C05.116.264.150
Alveolitis, Extrinsic Allergic	C20.543.480.680.075
Alzheimer Disease	F03.087.400.100
Amblyopia	C23.888.592.763.941.073
Amebiasis	C03.752.049
Ameloblastoma	C04.557.695.065
Amenorrhea	C23.550.568.500
Amino Acid Metabolism, Inborn Errors	C16.320.565.100
Amnesia	F01.700.625.100
Amphetamine-Related Disorders	F03.900.225
Amputation, Traumatic	C26.062
Amyloid Neuropathies	C10.668.829.050
Amyloid Neuropathies, Familial	C10.668.829.050.050
Amyloidosis	C18.452.845.500
Amyloidosis, Familial	C16.320.565.176
Amyotrophic Lateral Sclerosis	C10.228.854.139
Anaphylaxis	C20.543.480.099
Anastomotic Leak	C23.550.767.071
Ancylostomiasis	C03.335.508.700.775.455.154
Andersen Syndrome	C23.550.073.547.070
Anemia, Aplastic	C15.378.071.085
Anemia	C15.378.071
Anemia, Diamond-Blackfan	C15.378.071.750.500
Anemia, Dyserythropoietic, Congenital	C15.378.071.141.150.095
Anemia, Hemolytic, Autoimmune	C20.111.175
Anemia, Hemolytic	C15.378.071.141
Anemia, Hemolytic, Congenital	C15.378.071.141.150
Anemia, Hypochromic	C15.378.071.196
Anemia, Hypoplastic, Congenital	C15.378.071.085.080
Anemia, Iron-Deficiency	C15.378.071.196.300
Anemia, Neonatal	C15.378.071.363
Anemia, Refractory	C15.378.071.400
Anemia, Refractory, with Excess of Blasts	C15.378.071.400.080
Anemia, Sickle Cell	C15.378.071.141.150.150
Anencephaly	C10.500.680.196
Aneurysm	C14.907.055
Aneurysm, Dissecting	C14.907.055.050
Angelman Syndrome	C10.228.662.075
Angina Pectoris	C23.888.646.215.500
Angina Pectoris, Variant	C23.888.646.215.500.150.150
Angina, Stable	C23.888.646.215.500.575
Angina, Unstable	C23.888.646.215.500.150
Angiodysplasia	C14.907.075
Angioedema	C14.907.079
Angioedemas, Hereditary	C14.907.079.500
Angiofibroma	C04.557.645.100
Angioid Streaks	C11.768.094
Angiolipoma	C04.557.450.550.100
Angiomyolipoma	C04.557.450.550.125
Aniridia	C11.270.060
Anisometropia	C11.744.126
Ankle Fractures	C26.404.014
Ankle Injuries	C26.558.100
Anorexia	C23.888.821.108
Anorexia Nervosa	F03.375.100
Anovulation	G08.686.785.760.690.080
Anterior Wall Myocardial Infarction	C14.907.585.500.093
Anthrax	C01.252.410.090.072
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis	C20.111.193
Antiphospholipid Syndrome	C20.111.197
Antisocial Personality Disorder	F03.675.050
Antithrombin III Deficiency	C15.378.100.100.075
Anus Diseases	C06.405.469.860.101
Anus Neoplasms	C04.588.274.476.411.307.790.040
Anxiety Disorders	F03.080
Anxiety, Separation	F03.550.075
Aortic Aneurysm, Abdominal	C14.907.109.139.075
Aortic Aneurysm	C14.907.109.139
Aortic Aneurysm, Thoracic	C14.907.109.139.125
Aortic Arch Syndromes	C14.907.109.239
Aortic Coarctation	C14.280.400.090
Aortic Diseases	C14.907.109
Aortic Valve Insufficiency	C14.280.484.095
Aortic Valve Stenosis	C14.280.484.150
Aphasia, Broca	C23.888.592.604.150.500.800.100.100
Aphasia	C23.888.592.604.150.500.800.100
Aphasia, Primary Progressive	F03.087.400.125
Apnea	C23.888.852.130
Appendiceal Neoplasms	C04.588.274.476.411.184.290
Appendicitis	C01.539.463.099
Apraxias	F01.700.080
Arachnodactyly	C16.131.621.585.174
Arachnoiditis	C10.228.228.507.097
Argininosuccinic Aciduria	C10.228.140.163.100.937.124
Arm Injuries	C26.088
Arnold-Chiari Malformation	C10.500.680.291
Arrhythmias, Cardiac	C23.550.073
Arrhythmia, Sinus	C23.550.073.093
Arrhythmogenic Right Ventricular Dysplasia	C14.280.400.145
Arsenic Poisoning	C25.723.097
Arterial Occlusive Diseases	C14.907.137
Arteriosclerosis	C14.907.137.126
Arteriosclerosis Obliterans	C14.907.137.126.114
Arteriovenous Fistula	C23.300.575.950.250
Arteriovenous Malformations	C14.907.150
Arteritis	C14.907.184
Arthralgia	G11.561.600.810.444.350
Arthritis	C05.550.114
Arthritis, Experimental	E05.598.500.249
Arthritis, Gouty	C16.320.565.798.368.410
Arthritis, Infectious	C01.539.100
Arthritis, Juvenile	C20.111.198
Arthritis, Psoriatic	C17.800.859.675.175
Arthritis, Reactive	C01.539.100.500
Arthritis, Rheumatoid	C20.111.199
Arthropathy, Neurogenic	C05.550.186
Ascariasis	C03.335.508.700.100.070
Ascaridiasis	C03.335.508.700.100.080
Ascites	C23.550.081
Ascorbic Acid Deficiency	C18.654.521.500.133.115
Aspartylglucosaminuria	C16.320.565.595.100
Asperger Syndrome	F03.550.325.100
Aspergillosis, Allergic Bronchopulmonary	C17.800.838.208.416.249.074
Aspergillosis	C17.800.838.208.416.249
Asphyxia	C26.103
Asphyxia Neonatorum	C16.614.092
Asthenia	C23.888.089
Asthenozoospermia	C12.294.365.700.253
Asthma, Aspirin-Induced	C25.100.468.189
Asthma	C20.543.480.680.095
Asthma, Exercise-Induced	C20.543.480.680.095.110
Astigmatism	C11.744.212
Astrocytoma	C04.557.580.625.600.380.080
Asymptomatic Diseases	C23.550.291.187
Asymptomatic Infections	C23.550.291.187.500
Ataxia	C23.888.592.350.090
Ataxia Telangiectasia	C14.907.823.213
Atherosclerosis	C14.907.137.126.307
Athletic Injuries	C26.115
Atrial Fibrillation	C23.550.073.198
Atrial Flutter	C23.550.073.248
Atrial Remodeling	G09.330.190.075.800
Atrioventricular Block	C23.550.073.425.062
Atrophic Vaginitis	C13.351.500.894.906.316
Atrophy	C23.300.070
Attention Deficit and Disruptive Behavior Disorders	F03.550.150
Attention Deficit Disorder with Hyperactivity	F03.550.150.150
Auditory Perceptual Disorders	F01.700.750.200
Autistic Disorder	F03.550.325.125
Autoimmune Diseases	C20.111
Autoimmune Diseases of the Nervous System	C20.111.258
Autoimmune Lymphoproliferative Syndrome	C20.111.288
Autonomic Dysreflexia	C10.900.850.250
Autonomic Nervous System Diseases	C10.177
Avitaminosis	C18.654.521.500.133
Azoospermia	C12.294.365.700.380
Azotemia	C23.550.145
Back Pain	C23.888.646.172
Bacteremia	C23.550.470.790.500.100
Bacterial Infections	C01.252
Bacteriuria	C12.777.892.219
Barrett Esophagus	C06.405.117.102
Bartonella Infections	C01.252.400.126.100
Bartter Syndrome	C12.777.419.815.279
Basal Cell Nevus Syndrome	C16.320.700.175
Basal Ganglia Diseases	C10.228.140.079
Beckwith-Wiedemann Syndrome	C16.131.077.133
Behavior, Addictive	F01.145.527.100.120
Behavioral Symptoms	F01.145.126
Behcet Syndrome	C14.907.940.100
Bell Palsy	C10.292.300.250
Beriberi	C18.654.521.500.133.699.827.223
Berylliosis	C24.800.225
Bile Duct Diseases	C06.130.120
Bile Duct Neoplasms	C06.130.320.120
Bile Reflux	C06.130.140
Biliary Atresia	C16.131.314.125
Biliary Dyskinesia	C06.130.120.250.098
Biliary Fistula	C23.300.575.185.150
Biliary Tract Diseases	C06.130
Biliary Tract Neoplasms	C06.130.320
Binge Drinking	F01.145.317.269.500
Binge-Eating Disorder	F03.375.175
Bipolar Disorder	F03.600.150.150
Birth Injuries	C26.141
Birt-Hogg-Dube Syndrome	C16.320.700.212
Birth Weight	G07.700.320.249.314.120.186
Bisphosphonate-Associated Osteonecrosis of the Jaw	C23.550.717.732.183
Bladder Exstrophy	C12.777.829.132
Blast Crisis	C23.550.727.098.500.110
Blastocystis Infections	C03.432.250
Blastomycosis	C17.800.838.208.055
Blepharitis	C11.338.133
Blepharospasm	C11.338.250
Blindness	C23.888.592.763.941.162
Blister	C23.300.122
Blood Coagulation Disorders	C15.378.100
Blood Loss, Surgical	C23.550.414.300
Blood Platelet Disorders	C15.378.140
Blood Protein Disorders	C15.378.147
Body Dysmorphic Disorders	F03.875.149
Body Temperature Changes	C23.888.119
Body Weight Changes	G07.700.320.249.314.120.200
Body Weight	G07.700.320.249.314.120
Bone Demineralization, Pathologic	C05.116.198.247
Bone Diseases	C05.116
Bone Diseases, Endocrine	C19.149
Bone Diseases, Infectious	C01.539.160
Bone Diseases, Metabolic	C05.116.198
Bone Marrow Diseases	C15.378.190
Bone Marrow Neoplasms	C15.378.400.200
Bone Neoplasms	C04.588.149
Bone Resorption	G11.427.590.195.150
Borderline Personality Disorder	F03.675.100
Borrelia Infections	C01.252.400.155
Botulism	C25.723.415.151
Bowen's Disease	C04.557.470.700.400.130
Brachial Plexus Neuritis	C10.668.829.650.250
Brachial Plexus Neuropathies	C10.668.829.100
Bradycardia	C23.550.073.300
Brain Concussion	C26.915.300.200.150
Brain Death	C23.550.260.159
Brain Diseases	C10.228.140
Brain Edema	C10.228.140.187
Brain Infarction	C14.907.253.092.477
Brain Injuries	C26.915.300.200
Brain Injury, Chronic	C26.260.118.200
Brain Ischemia	C14.907.253.092
Brain Neoplasms	C10.551.240.250
Brain Stem Infarctions	C14.907.253.092.477.100
Brain Stem Neoplasms	C10.551.240.250.400.200
Breakthrough Pain	G11.561.600.810.444.393
Breast Diseases	C17.800.090
Breast Neoplasms	C17.800.090.500
Breast Neoplasms, Male	C17.800.090.500.260
Breech Presentation	G08.686.785.760.769.326.520.150
Brenner Tumor	C13.351.500.056.630.705.265
Bronchial Diseases	C08.127
Bronchial Hyperreactivity	C08.127.210
Bronchial Neoplasms	C04.588.894.797.520.109
Bronchial Spasm	C08.127.321
Bronchiectasis	C08.127.384
Bronchiolitis	C08.381.495.146.135
Bronchiolitis Obliterans	C08.381.495.146.135.140
Bronchiolitis, Viral	C02.109
Bronchitis	C08.381.495.146
Bronchitis, Chronic	C08.381.495.389.500
Bronchopulmonary Dysplasia	C16.614.521.125
Brucellosis	C01.252.400.167
Brugada Syndrome	C14.280.067.322
Bruxism	C07.793.099
Budd-Chiari Syndrome	C14.907.355.830.925.275
Bulbo-Spinal Atrophy, X-Linked	C10.228.854.468.399
Bulimia	C23.888.821.645.500
Bulimia Nervosa	F03.375.250
Burkitt Lymphoma	C15.604.515.569.480.100
Burning Mouth Syndrome	C07.465.114
Burns	C26.200
Bursitis	C05.550.251
Buruli Ulcer	C17.800.893.295
Cachexia	C23.888.144.243.963.500.500
CADASIL	C14.907.253.560.200.175
Calcinosis	C18.452.174.130
Calciphylaxis	C18.452.174.130.186
Calcium Metabolism Disorders	C18.452.174
Calculi	C23.300.175
Campylobacter Infections	C01.252.400.177
Canavan Disease	C10.228.140.695.625.375
Candidemia	C23.550.470.790.500.360.150
Candidiasis	C01.703.160
Candidiasis, Chronic Mucocutaneous	C17.800.838.208.165
Candidiasis, Invasive	C01.703.160.175
Candidiasis, Oral	C01.703.160.180
Candidiasis, Vulvovaginal	C13.351.500.944.902.737.500
Capsule Opacification	C11.510.245.500
Carbamoyl-Phosphate Synthase I Deficiency Disease	C10.228.140.163.100.937.249
Carbohydrate Metabolism, Inborn Errors	C16.320.565.202
Carcinoid Tumor	C04.557.580.625.650.200
Carcinoma, Acinar Cell	C04.557.470.200.025.215
Carcinoma, Adenoid Cystic	C04.557.470.200.025.220
Carcinoma, Adenosquamous	C04.557.435.250
Carcinoma, Basal Cell	C04.557.470.565.165
Carcinoma, Bronchogenic	C04.588.894.797.520.109.220
Carcinoma	C04.557.470.200
Carcinoma, Ductal, Breast	C17.800.090.500.390
Carcinoma, Ductal	C04.557.470.615.132
Carcinoma, Embryonal	C04.557.465.200
Carcinoma, Endometrioid	C13.351.500.056.630.705.331
Carcinoma, Hepatocellular	C04.588.274.623.160
Carcinoma in Situ	C04.557.470.200.240
Carcinoma, Intraductal, Noninfiltrating	C04.557.470.615.275
Carcinoma, Islet Cell	C19.344.421.500
Carcinoma, Large Cell	C04.557.470.200.260
Carcinoma, Lobular	C04.557.470.615.305
Carcinoma, Medullary	C04.557.470.615.315
Carcinoma, Merkel Cell	C02.256.721.150
Carcinoma, Mucoepidermoid	C04.557.470.590.340
Carcinoma, Neuroendocrine	C04.557.580.625.650.240
Carcinoma, Non-Small-Cell Lung	C04.588.894.797.520.109.220.249
Carcinoma, Pancreatic Ductal	C19.344.421.750
Carcinoma, Papillary	C04.557.470.700.360
Carcinoma, Renal Cell	C13.351.968.419.473.160
Carcinoma, Signet Ring Cell	C04.557.470.590.415
Carcinoma, Small Cell	C04.557.470.200.380
Carcinoma, Squamous Cell	C04.557.470.700.400
Carcinoma, Transitional Cell	C04.557.470.200.430
Carcinoma, Verrucous	C04.557.470.700.450
Carcinosarcoma	C04.557.435.290
Cardiac Complexes, Premature	C23.550.073.325
Cardiac Output, Low	C23.888.192
Cardiomegaly	C23.300.775.250
Cardiomyopathies	C14.280.238
Cardiomyopathy, Alcoholic	C25.775.100.087.250
Cardiomyopathy, Dilated	C14.280.238.070
Cardiomyopathy, Hypertrophic	C14.280.484.150.070.160
Cardio-Renal Syndrome	C12.777.419.780.400
Cardiovascular Abnormalities	C14.240
Cardiovascular Diseases	C14
Carney Complex	C14.280.459.500
Carotid Artery Diseases	C14.907.253.123
Carotid Artery Injuries	C26.915.200.200
Carotid Body Tumor	C04.557.580.625.650.700.705.220
Carotid Stenosis	C14.907.253.123.360
Carpal Tunnel Syndrome	C26.844.150.206
Cartilage Diseases	C17.300.182
Cataplexy	F03.870.400.800.200.750.500
Cataract	C11.510.245
Catatonia	F01.145.126.156
Catheter-Related Infections	C01.539.195
Cat-Scratch Disease	C15.604.315.249
Causalgia	C10.668.829.600.200
Celiac Disease	C18.452.603.250
Cellulitis	C23.550.470.756.200
Central Nervous System Diseases	C10.228
Central Nervous System Fungal Infections	C10.228.228.198
Central Nervous System Infections	C10.228.228
Central Nervous System Neoplasms	C10.551.240
Central Serous Chorioretinopathy	C11.768.175
Cerebellar Ataxia	C23.888.592.350.090.200
Cerebral Amyloid Angiopathy	C14.907.253.560.200.200
Cerebral Arterial Diseases	C14.907.253.560.200
Cerebral Hemorrhage	C23.550.414.913.100
Cerebral Infarction	C14.907.253.092.477.200
Cerebral Palsy	C10.228.140.140.254
Cerebral Small Vessel Diseases	C14.907.253.329
Cerebrospinal Fluid Rhinorrhea	C23.888.592.114.624
Cerebrovascular Disorders	C14.907.253
Cervical Intraepithelial Neoplasia	C04.557.470.200.240.250
Chagas Cardiomyopathy	C14.280.238.190
Chagas Disease	C03.752.300.900.200
Chalazion	C11.338.300
Charcot-Marie-Tooth Disease	C10.668.829.800.300.200
Chediak-Higashi Syndrome	C20.673.774.257
Cheilitis	C07.465.409.215
Chemotherapy-Induced Febrile Neutropenia	C15.378.553.546.184.564.750.500
Chest Pain	C23.888.646.215
Cheyne-Stokes Respiration	C23.888.852.227
Chickenpox	C02.256.466.175
Child Behavior Disorders	F03.550.300
Child Development Disorders, Pervasive	F03.550.325
Chlamydia Infections	C13.351.500.711.281.301
Cholangiocarcinoma	C04.557.470.200.025.450
Cholangitis	C06.130.120.200
Cholangitis, Sclerosing	C06.130.120.200.110
Cholecystitis, Acute	C06.130.564.263.500
Cholecystitis	C06.130.564.263
Cholecystolithiasis	C06.130.564.332
Choledochal Cyst	C16.131.314.184
Choledocholithiasis	C06.130.409.267
Cholelithiasis	C06.130.409
Cholera	C01.252.400.959.347
Cholestasis	C06.130.120.135
Cholestasis, Intrahepatic	C06.130.120.135.250
Cholesteatoma	C17.800.428.260
Cholesterol Ester Storage Disease	C16.320.565.595.201
Chondrocalcinosis	C05.550.114.264
Chondrosarcoma	C04.557.450.565.280
Chondrosarcoma, Mesenchymal	C04.557.450.565.280.280
Chordoma	C04.557.465.220
Chorea	C23.888.592.350.250
Chorioamnionitis	C13.703.277.030
Choriocarcinoma	C13.703.720.949.416.218
Chorioretinitis	C11.941.879.780.900.300.318
Choroidal Neovascularization	C23.550.589.500.145
Choroid Diseases	C11.941.160
Choroideremia	C11.270.142
Choroiditis	C11.941.879.780.900.300
Choroid Plexus Neoplasms	C10.551.240.250.200.200
Chromosome Aberrations	G05.365.590.175
Chromosome Deletion	G05.365.590.762.180
Chromosome Disorders	C16.131.260
Chronic Disease	C23.550.291.500
Chronic Pain	C23.888.592.612.274
Chronic Periodontitis	C07.465.714.533.324
Chronobiology Disorders	C10.281
Churg-Strauss Syndrome	C20.111.193.500
Cicatrix	G16.100.856.891.249
Cicatrix, Hypertrophic	C23.550.355.274.505
Ciguatera Poisoning	C25.723.415.246
Citrullinemia	C10.228.140.163.100.937.374
Cleft Lip	C16.131.850.525.164
Cleft Palate	C16.131.621.207.540.460.185
Clostridium Infections	C01.252.410.222
Cluster Headache	C10.228.140.546.399.937.500
Cocaine-Related Disorders	F03.900.300
Coccidioidomycosis	C01.703.203
Coccidiosis	C03.752.250
Cognition Disorders	F03.087.250
Coinfection	C01.539.218
Colic	C23.888.821.030.500
Colitis	C06.405.205.265
Colitis, Collagenous	C06.405.205.265.173.500
Colitis, Lymphocytic	C06.405.205.265.173.750
Colitis, Microscopic	C06.405.205.265.173
Colitis, Ulcerative	C06.405.205.265.231
Collagen Diseases	C17.300.200
Colles' Fracture	C26.404.562.356
Colonic Diseases	C06.405.469.158
Colonic Diseases, Functional	C06.405.469.158.272
Colonic Neoplasms	C04.588.274.476.411.307.180
Colonic Polyps	C23.300.825.411.235
Colorectal Neoplasms	C04.588.274.476.411.307
Colorectal Neoplasms, Hereditary Nonpolyposis	C16.320.700.250
Color Vision Defects	C23.888.592.763.941.256
Combat Disorders	F03.080.931.249
Common Bile Duct Neoplasms	C06.130.320.120.280
Common Cold	C08.730.162
Common Variable Immunodeficiency	C20.673.330
Communicable Diseases	C01.539.221
Community-Acquired Infections	C01.539.234
Compartment Syndromes	C14.907.303
Complex Regional Pain Syndromes	C10.668.829.250
Compulsive Behavior	F01.145.527.100
Compulsive Personality Disorder	F03.675.150
Conduct Disorder	F03.550.150.300
Condylomata Acuminata	C17.800.838.790.810.110
Confusion	F01.700.250
Congenital Abnormalities	C16.131
Congenital Hyperinsulinism	C18.452.394.984.200
Congenital Hypothyroidism	C19.874.482.281
Conjunctival Neoplasms	C11.187.169
Conjunctivitis, Allergic	C11.187.183.200
Conjunctivitis, Bacterial	C11.187.183.220
Conjunctivitis	C11.187.183
Conjunctivitis, Inclusion	C11.187.183.220.250
Conjunctivitis, Viral	C11.187.183.240
Connective Tissue Diseases	C17.300
Constipation	C23.888.821.150
Constriction, Pathologic	C23.300.287
Contracture	C05.651.197
Contusions	C26.248
Conversion Disorder	F03.875.300
Corneal Diseases	C11.204
Corneal Dystrophies, Hereditary	C11.270.162
Corneal Edema	C11.204.267
Corneal Endothelial Cell Loss	C23.550.767.093
Corneal Neovascularization	C11.204.290
Corneal Opacity	C11.204.299
Corneal Ulcer	C11.294.177
Coronary Aneurysm	C14.907.585.250.250
Coronary Artery Disease	C14.907.585.250.260
Coronary Disease	C14.907.585.250
Coronary Occlusion	C14.907.585.250.272
Coronary Restenosis	C14.907.585.250.285.200
Coronary Stenosis	C14.907.585.250.285
Coronary Thrombosis	C14.907.355.830.220
Coronary Vasospasm	C14.907.585.250.295
Coronary Vessel Anomalies	C14.280.400.210
Coronavirus Infections	C02.782.600.550.200
Cough	C23.888.852.293
Coxsackievirus Infections	C02.782.687.359.213
Craniocerebral Trauma	C26.915.300
Craniofacial Abnormalities	C16.131.621.207
Craniopharyngioma	C04.557.580.625.200
Craniosynostoses	C16.131.621.906.364
CREST Syndrome	C14.907.823.225
Creutzfeldt-Jakob Syndrome	F03.087.400.300
Crigler-Najjar Syndrome	C16.320.565.300.281
Critical Illness	C23.550.291.625
Crohn Disease	C06.405.205.731.500
Cross Infection	C01.539.248
Croup	C08.360.535.365
Cryoglobulinemia	C14.907.454.140
Cryopyrin-Associated Periodic Syndromes	C17.800.827.368.500
Cryptococcosis	C01.703.248
Cryptogenic Organizing Pneumonia	C08.381.495.146.135.140.200
Cryptorchidism	C12.706.258
Cryptosporidiosis	C22.674.710.235
Cumulative Trauma Disorders	C26.844.150
Cushing Syndrome	C19.053.800.367
Cutis Laxa	C16.320.850.180
Cystadenocarcinoma	C04.557.470.590.480
Cystadenocarcinoma, Mucinous	C04.557.470.590.480.225
Cystadenocarcinoma, Serous	C04.557.470.590.480.240
Cystadenoma	C04.557.470.590.485
Cystadenoma, Mucinous	C04.557.470.590.485.225
Cystic Adenomatoid Malformation of Lung, Congenital	C16.131.740.290
Cysticercosis	C03.335.190.902.185
Cystic Fibrosis	C16.614.213
Cystinosis	C16.320.565.595.377
Cystinuria	C12.777.419.815.885.250
Cystitis	C12.777.829.495
Cystitis, Interstitial	C12.777.829.495.500
Cystocele	C23.300.842.624.249
Cysts	C23.300.306
Cytomegalovirus Infections	C02.256.466.245
Cytomegalovirus Retinitis	C11.768.773.360
Dandruff	C17.800.738.353
Deafness	C23.888.592.763.393.341.186
Death	C23.550.260
Death, Sudden	C23.550.260.322
Death, Sudden, Cardiac	C23.550.260.322.250
Decompression Sickness	C26.120.248
Deficiency Diseases	C18.654.521.500
Deglutition Disorders	C06.405.117.119
Dehydration	C23.550.274
Delayed Emergence from Anesthesia	C23.550.767.137
Delayed Graft Function	C23.550.277
Delirium, Dementia, Amnestic, Cognitive Disorders	F03.087
Delirium	F01.700.250.500
Delusions	F01.145.126.200
Dementia	F03.087.400
Dementia, Multi-Infarct	F03.087.400.350.400
Dementia, Vascular	F03.087.400.350
Demyelinating Autoimmune Diseases, CNS	C10.228.140.695.562
Demyelinating Diseases	C10.314
Dengue	C02.081.270
Dental Caries	C07.793.720.210
Dental Plaque	C07.793.208.377
Dental Pulp Exposure	C07.793.237.283
Dental Pulp Necrosis	C23.550.717.182
Dent Disease	C12.777.419.815.364
Dentin Sensitivity	C07.793.266
Dentofacial Deformities	C16.131.621.207.540.315
Depersonalization	F01.145.126.300
Depression	F01.145.126.350
Depression, Postpartum	F03.600.300.350
Depressive Disorder	F03.600.300
Depressive Disorder, Major	F03.600.300.375
Depressive Disorder, Treatment-Resistant	F03.600.300.387
Dermatitis, Allergic Contact	C17.800.174.255.100
Dermatitis, Atopic	C17.800.174.193
Dermatitis	C17.800.174
Dermatitis, Contact	C17.800.174.255
Dermatitis, Exfoliative	C17.800.174.318
Dermatitis Herpetiformis	C17.800.865.360
Dermatitis, Occupational	C24.270
Dermatitis, Perioral	C17.800.174.550
Dermatitis, Photoallergic	C17.800.174.255.100.600
Dermatitis, Phototoxic	C17.800.174.255.400.225
Dermatitis, Seborrheic	C17.800.859.350
Dermatofibrosarcoma	C04.557.450.565.590.350.320
Dermatomycoses	C17.800.838.208
Dermatomyositis	C10.668.491.562.575.500
Dermoid Cyst	C04.182.201
Desmoplastic Small Round Cell Tumor	C04.557.450.795.315
Developmental Disabilities	F03.550.362
Dextrocardia	C14.280.400.280
Diabetes Complications	C19.246.099
Diabetes, Gestational	C13.703.170
Diabetes Insipidus	C13.351.968.419.135
Diabetes Insipidus, Nephrogenic	C13.351.968.419.135.500
Diabetes Insipidus, Neurogenic	C13.351.968.419.135.750
Diabetes Mellitus	C18.452.394.750
Diabetes Mellitus, Type 1	C20.111.327
Diabetes Mellitus, Type 2	C18.452.394.750.149
Diabetic Angiopathies	C14.907.320
Diabetic Cardiomyopathies	C14.280.238.235
Diabetic Foot	C14.907.320.191
Diabetic Ketoacidosis	C18.452.076.176.652.500
Diabetic Nephropathies	C13.351.968.419.192
Diabetic Neuropathies	C10.668.829.300
Diabetic Retinopathy	C14.907.320.382
