uniprot_disease_accession	attribute	value
DI-01751	definition	A metabolic disorder characterized by severe hypoketotic hypoglycemia, encephalopathy, and hepatomegaly.
DI-01751	synonym	HMG-CoA synthase deficiency.
DI-01751	synonym	HMGCS deficiency.
DI-01751	synonym	HMGCS2 deficiency.
DI-01751	synonym	Mitochondrial 3-hydroxy-3-methylglutaryl-CoA synthase 2 deficiency.
DI-01751	synonym	Mitochondrial HMG-CoA synthase deficiency.
DI-01751	MIM_id	 605911
DI-01751	acronym	HMGCS2D.
DI-01751	MedGen_id	 C2751532.
DI-01751	MeSH_id	 D007003.
DI-01751	MeSH_id	 D008661.
DI-01751	MeSH_id	 D028361.
DI-01740	canonical	3-hydroxyisobutryl-CoA hydrolase deficiency.
DI-01740	definition	An autosomal recessive inborn error of valine metabolism. It causes severely delayed psychomotor development, neurodegeneration, increased lactic acid, and brain lesions in the basal ganglia.
DI-01740	synonym	Beta-hydroxyisobutyryl CoA deacylase deficiency.
DI-01740	synonym	Deficiency of beta-hydroxyisobutyryl CoA deacylase.
DI-01740	synonym	HIBCH deficiency.
DI-01740	synonym	Methacrylic acid toxicity.
DI-01740	synonym	Methacrylic aciduria.
DI-01740	synonym	Valine metabolic defect.
DI-01740	MIM_id	 250620
DI-01740	acronym	HIBCHD.
DI-01740	MedGen_id	 C0342738.
DI-01740	MeSH_id	 D000592.
DI-00009	canonical	3-ketothiolase deficiency.
DI-00009	definition	An inborn error of isoleucine catabolism characterized by intermittent ketoacidotic attacks associated with unconsciousness. Some patients die during an attack or are mentally retarded. Urinary excretion of 2- methyl-3-hydroxybutyric acid, 2-methylacetoacetic acid, triglylglycine, butanone is increased. It seems likely that the severity of this disease correlates better with the environmental or acquired factors than with the ACAT1 genotype.
DI-00009	synonym	Alpha-methylacetoaceticaciduria.
DI-00009	MIM_id	 203750
DI-00009	acronym	3KTD.
DI-00009	MedGen_id	 C1536500.
DI-00009	MeSH_id	 D000592.
DI-00742	canonical	3-methylcrotonoyl-CoA carboxylase 1 deficiency.
DI-00742	definition	An autosomal recessive disorder of leucine catabolism. The phenotype is variable, ranging from neonatal onset with severe neurological involvement to asymptomatic adults. There is a characteristic organic aciduria with massive excretion of 3-hydroxyisovaleric acid and 3- methylcrotonylglycine, usually in combination with a severe secondary carnitine deficiency.
DI-00742	synonym	3-methylcrotonylglycinuria type I.
DI-00742	synonym	MCC1 deficiency.
DI-00742	synonym	MCCD type 1.
DI-00742	synonym	MCGI.
DI-00742	synonym	Methylcrotonylglycinuria type I.
DI-00742	MIM_id	 210200
DI-00742	acronym	MCC1D.
DI-00742	MedGen_id	 C0268600.
DI-00742	MedGen_id	 CN028786.
DI-00742	MeSH_id	 D000592.
DI-00743	canonical	3-methylcrotonoyl-CoA carboxylase 2 deficiency.
DI-00743	definition	An autosomal recessive disorder of leucine catabolism. The phenotype is variable, ranging from neonatal onset with severe neurological involvement to asymptomatic adults. There is a characteristic organic aciduria with massive excretion of 3-hydroxyisovaleric acid and 3- methylcrotonylglycine, usually in combination with a severe secondary carnitine deficiency.
DI-00743	synonym	3-methylcrotonylglycinuria type II.
DI-00743	synonym	MCC2 deficiency.
DI-00743	synonym	MCGII.
DI-00743	synonym	Methylcrotonylglycinuria type II.
DI-00743	MIM_id	 210210
DI-00743	acronym	MCC2D.
DI-00743	MedGen_id	 C1859499.
DI-00743	MeSH_id	 D000592.
DI-00004	canonical	3-methylglutaconic aciduria 1.
DI-00004	definition	An inborn error of leucine metabolism. It leads to an autosomal recessive syndrome with variable clinical phenotype, ranging from delayed speech development to severe psychomotor retardation, coma, failure to thrive, metabolic acidosis and dystonia. MGA1 can be distinguished from other forms of MGA by the pattern of metabolite excretion: 3-methylglutaconic acid levels are higher than those detected in other forms, whereas methylglutaric acid levels are usually only slightly elevated and there is a high level of 3- hydroxyisovaleric acid excretion (not present in other MGA forms).
DI-00004	synonym	3-alpha-methylglutaconic aciduria type 1.
DI-00004	synonym	3-alpha-methylglutaconyl-CoA hydratase deficiency.
DI-00004	synonym	3-methylglutaconyl-CoA hydratase deficiency.
DI-00004	synonym	3MG-CoA hydratase deficiency.
DI-00004	synonym	MGA type I.
DI-00004	MIM_id	 250950
DI-00004	acronym	MGA1.
DI-00004	MedGen_id	 C0342727.
DI-00004	MeSH_id	 D000592.
DI-00006	canonical	3-methylglutaconic aciduria 3.
DI-00006	definition	A metabolic disorder that causes a neuro-ophthalmologic syndrome consisting of early-onset bilateral optic atrophy, spasticity, extrapyramidal dysfunction and cognitive deficit. Urinary excretion of 3-methylglutaconic acid and 3-methylglutaric acid is increased. MGA3 can be distinguished from MGA1 by the absence of increase of 3- hydroxyisovaleric acid levels.
DI-00006	synonym	3-alpha-methylglutaconic aciduria type 3.
DI-00006	synonym	Costeff optic atrophy syndrome.
DI-00006	synonym	Costeff syndrome.
DI-00006	synonym	MGA type III.
DI-00006	synonym	Optic atrophy 3 autosomal recessive.
DI-00006	synonym	Optic atrophy plus syndrome.
DI-00006	MIM_id	 258501
DI-00006	acronym	MGA3.
DI-00006	MedGen_id	 C0574084.
DI-00006	MeSH_id	 D015418.
DI-00007	canonical	3-methylglutaconic aciduria 5.
DI-00007	definition	An autosomal recessive disorder characterized by early-onset dilated cardiomyopathy, growth failure, cerebellar ataxia causing significant motor delays, testicular dysgenesis, growth failure and significant increases in urine organic acids, particularly 3-methylglutaconic acid and 3-methylglutaric acid.
DI-00007	synonym	3-alpha-methylglutaconic aciduria type 5.
DI-00007	synonym	DCMA.
DI-00007	synonym	Dilated cardiomyopathy with ataxia.
DI-00007	synonym	MGA type V.
DI-00007	keyword	KW-0122:Cardiomyopathy.
DI-00007	MIM_id	 610198
DI-00007	acronym	MGA5.
DI-00007	MedGen_id	 C1857776.
DI-00007	MeSH_id	 D002311.
DI-04365	canonical	3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia.
DI-04365	definition	An autosomal recessive inborn error of metabolism with a highly variable phenotype. Primary disease symptoms are increased levels of 3-methylglutaconic acid, neurologic deterioration and neutropenia. Other common features include progressive encephalopathy, movement abnormalities, delayed psychomotor development, cataracts, seizures, and recurrent infections.
DI-04365	synonym	3-methylglutaconic aciduria 7.
DI-04365	synonym	3-methylglutaconic aciduria, type VII.
DI-04365	synonym	3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia.
DI-04365	synonym	MGCA7.
DI-04365	keyword	KW-0887:Epilepsy.
DI-04365	keyword	KW-0898:Cataract.
DI-04365	MIM_id	 616271
DI-04365	acronym	MEGCANN.
DI-04365	MedGen_id	 CN228597.
DI-04365	MeSH_id	 D008661.
DI-03495	canonical	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome.
DI-03495	definition	An autosomal recessive disorder characterized by childhood onset of delayed psychomotor development or psychomotor regression, sensorineural deafness, spasticity or dystonia, and increased excretion of 3-methylglutaconic acid. Brain imaging shows cerebral and cerebellar atrophy as well as lesions in the basal ganglia reminiscent of Leigh syndrome. Laboratory studies show increased serum lactate and alanine, mitochondrial oxidative phosphorylation defects, abnormal mitochondria, abnormal phosphatidylglycerol and cardiolipin profiles in fibroblasts, and abnormal accumulation of unesterified cholesterol within cells.
DI-03495	synonym	3-methylglutaconic aciduria, type VI.
DI-03495	synonym	MGCA6.
DI-03495	keyword	KW-0209:Deafness.
DI-03495	MIM_id	 614739
DI-03495	acronym	MEGDEL.
DI-03495	MedGen_id	 C3553597.
DI-03495	MedGen_id	 CN130585.
DI-03495	MeSH_id	 D008661.
DI-00011	canonical	3M syndrome 1.
DI-00011	definition	An autosomal recessive disorder characterized by severe pre- and postnatal growth retardation, facial dysmorphism, large head circumference, and normal intelligence and endocrine function. Skeletal changes include long slender tubular bones and tall vertebral bodies.
DI-00011	synonym	3M syndrome-1.
DI-00011	synonym	Dolichospondylic dysplasia.
DI-00011	synonym	Gloomy face syndrome.
DI-00011	synonym	Le Merrer syndrome.
DI-00011	synonym	Miller-McKusick-Malvaux syndrome.
DI-00011	synonym	Three M syndrome.
DI-00011	synonym	Three M syndrome 1.
DI-00011	synonym	Yakut short stature syndrome.
DI-00011	keyword	KW-0242:Dwarfism.
DI-00011	MIM_id	 273750
DI-00011	acronym	3M1.
DI-00011	MedGen_id	 C1848862.
DI-00011	MedGen_id	 C2678312.
DI-00011	MeSH_id	 D004392.
DI-02472	canonical	3M syndrome 2.
DI-02472	definition	An autosomal recessive disorder characterized by severe pre- and postnatal growth retardation, facial dysmorphism, large head circumference, and normal intelligence and endocrine function. Skeletal changes include long slender tubular bones and tall vertebral bodies.
DI-02472	synonym	3M syndrome-2.
DI-02472	synonym	Three M syndrome 2.
DI-02472	keyword	KW-0242:Dwarfism.
DI-02472	MIM_id	 612921
DI-02472	acronym	3M2.
DI-02472	MedGen_id	 C2752041.
DI-02472	MeSH_id	 D004392.
DI-03220	canonical	3M syndrome 3.
DI-03220	definition	A disorder characterized by poor postnatal growth and distinctive facial features, including triangular facies, frontal bossing, fleshy tipped nose, and fleshy lips. Other features may include skeletal anomalies and prominent heels.
DI-03220	synonym	3M syndrome-3.
DI-03220	synonym	Three M syndrome 3.
DI-03220	keyword	KW-0242:Dwarfism.
DI-03220	MIM_id	 614205
DI-03220	acronym	3M3.
DI-03220	MedGen_id	 C3280146.
DI-03220	MeSH_id	 D004392.
DI-03129	canonical	3MC syndrome 1.
DI-03129	definition	A disorder characterized by facial dysmorphism that includes hypertelorism, blepharophimosis, blepharoptosis and highly arched eyebrows, cleft lip and/or palate, craniosynostosis, learning disability and genital, limb and vesicorenal anomalies. The term 3MC syndrome includes Carnevale, Mingarelli, Malpuech, and Michels syndromes.
DI-03129	synonym	Craniosynostosis with lid anomalies.
DI-03129	synonym	Michels syndrome.
DI-03129	synonym	Oculopalatoskeletal syndrome.
DI-03129	MIM_id	 257920
DI-03129	acronym	3MC1.
DI-03129	MedGen_id	 C0796059.
DI-03129	MeSH_id	 D003398.
DI-03129	MeSH_id	 D005141.
DI-03130	canonical	3MC syndrome 2.
DI-03130	definition	A disorder characterized by facial dysmorphism that includes hypertelorism, blepharophimosis, blepharoptosis and highly arched eyebrows, cleft lip and/or palate, craniosynostosis, learning disability and genital, limb and vesicorenal anomalies. The term 3MC syndrome includes Carnevale, Mingarelli, Malpuech, and Michels syndromes.
DI-03130	synonym	Carnevale Krajewska Fischetto syndrome.
DI-03130	synonym	Carnevale syndrome.
DI-03130	synonym	Oculo-skeletal-abdominal syndrome.
DI-03130	synonym	OSA syndrome.
DI-03130	synonym	Ptosis of eyelids with diastasis recti and hip dysplasia.
DI-03130	MIM_id	 265050
DI-03130	acronym	3MC2.
DI-03130	MedGen_id	 C0796279.
DI-03130	MeSH_id	 D003398.
DI-03130	MeSH_id	 D005141.
DI-02395	canonical	46,XX sex reversal 1.
DI-02395	definition	A condition in which male gonads develop in a genetic female (female to male sex reversal).
DI-02395	synonym	46,XX gonadal dysgenesis complete SRY-positive.
DI-02395	synonym	46,XX sex reversal SRY-positive.
DI-02395	synonym	46,XX testicular disorder of sex development.
DI-02395	synonym	46,XX true hermaphroditism SRY-positive.
DI-02395	synonym	Ovotesticular disorder of sex development.
DI-02395	synonym	Ovotesticular DSD.
DI-02395	synonym	XX male SRY-positive.
DI-02395	MIM_id	 400045
DI-02395	acronym	SRXX1.
DI-02395	MedGen_id	 C2748895.
DI-02395	MedGen_id	 C3495659.
DI-02395	MeSH_id	 D023961.
DI-02395	MeSH_id	 D050090.
DI-03053	canonical	46,XX sex reversal 2.
DI-03053	definition	A condition in which male gonads develop in a genetic female (female to male sex reversal).
DI-03053	synonym	46,XX sex reversal partial or complete SOX9-related.
DI-03053	MIM_id	 278850
DI-03053	acronym	SRXX2.
DI-03053	MedGen_id	 C2749215.
DI-03053	MeSH_id	 D058531.
DI-03008	canonical	46,XX sex reversal 3.
DI-03008	definition	A condition in which male gonads develop in a genetic female (female to male sex reversal).
DI-03008	synonym	46,XX male sex reversal SOX3-related.
DI-03008	MIM_id	 300833
DI-03008	acronym	SRXX3.
DI-03008	MedGen_id	 C3151782.
DI-03008	MedGen_id	 C3151783.
DI-03008	MeSH_id	 D058531.
DI-01613	canonical	46,XX sex reversal with dysgenesis of kidneys, adrenals, and lungs.
DI-01613	definition	A disease characterized by the association of female-to-male sex reversal with dysgenesis of kidneys, adrenals, and lungs.
DI-01613	synonym	SERKAL syndrome.
DI-01613	MIM_id	 611812
DI-01613	acronym	SERKAL.
DI-01613	MedGen_id	 C2678492.
DI-01613	MeSH_id	 D058531.
DI-01682	canonical	46,XY sex reversal 1.
DI-01682	definition	A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype. Patients manifest rapid and early degeneration of their gonads, which are present in the adult as 'streak gonads', consisting mainly of fibrous tissue and variable amounts of ovarian stroma. As a result these patients do not develop secondary sexual characteristics at puberty. The external genitalia in these subjects are completely female, and Muellerian structures are normal.
DI-01682	synonym	46,XY gonadal dysgenesis complete SRY-related.
DI-01682	synonym	46,XY sex reversal SRY-related.
DI-01682	synonym	46,XY true hermaphroditism SRY-related.
DI-01682	synonym	Gonadal dysgenesis XY female type.
DI-01682	synonym	Swyer syndrome.
DI-01682	synonym	XY females.
DI-01682	MIM_id	 400044
DI-01682	acronym	SRXY1.
DI-01682	MedGen_id	 C2748896.
DI-01682	MedGen_id	 C2748897.
DI-01682	MedGen_id	 C2748898.
DI-01682	MedGen_id	 C2748899.
DI-01682	MeSH_id	 D006061.
DI-04458	canonical	46,XY sex reversal 10.
DI-04458	definition	A disorder of sex development. Affected individuals have a 46,XY karyotype, show gonadal dysgenesis with streak gonads, look like normal females at birth, do not develop secondary sexual characteristics at puberty and do not menstruate.
DI-04458	synonym	Chromosome 17q24 deletion syndrome.
DI-04458	MIM_id	 616425
DI-04458	acronym	SRXY10.
DI-04458	MedGen_id	 CN231316.
DI-04458	MeSH_id	 D006061.
DI-02751	canonical	46,XY sex reversal 2.
DI-02751	definition	A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype.
DI-02751	synonym	46,XY sex reversal DAX1-related.
DI-02751	synonym	Dosage-sensitive sex reversal.
DI-02751	synonym	DSS.
DI-02751	MIM_id	 300018
DI-02751	acronym	SRXY2.
DI-02751	MedGen_id	 C1848296.
DI-02751	MeSH_id	 D058490.
DI-02465	canonical	46,XY sex reversal 3.
DI-02465	definition	A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype.
DI-02465	synonym	46,XY disorder of sex development.
DI-02465	synonym	46,XY sex reversal partial or complete NR5A1-related.
DI-02465	synonym	Complete or partial 46,XY gonadal dysgenesis with or without adrenal failure.
DI-02465	synonym	XY sex reversal with or without adrenal failure.
DI-02465	MIM_id	 612965
DI-02465	acronym	SRXY3.
DI-02465	MedGen_id	 C2751824.
DI-02465	MeSH_id	 D006061.
DI-03328	canonical	46,XY sex reversal 4.
DI-03328	definition	A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype. Patients display complete or partial gonadal dysgenesis and a chromosome 9p deletion.
DI-03328	synonym	46,XY gonadal dysgenesis complete or partial with 9p24.3 deletion.
DI-03328	synonym	Chromosome 9p24.3 deletion syndrome.
DI-03328	MIM_id	 154230
DI-03328	acronym	SRXY4.
DI-03328	MedGen_id	 C2752149.
DI-03328	MeSH_id	 D006061.
DI-02807	canonical	46,XY sex reversal 5.
DI-02807	definition	A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females.
DI-02807	synonym	46,XY gonadal dysgenesis complete CBX2-related.
DI-02807	synonym	46,XY sex reversal CBX2-related.
DI-02807	synonym	Disorder of sex development 46,XY CBX2-related.
DI-02807	synonym	Sex reversal XY CBX2-related.
DI-02807	MIM_id	 613080
DI-02807	acronym	SRXY5.
DI-02807	MedGen_id	 C2751317.
DI-02807	MeSH_id	 D006061.
DI-03052	canonical	46,XY sex reversal 6.
DI-03052	definition	A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females.
DI-03052	synonym	46,XY gonadal dysgenesis partial or complete MAP3K1-related.
DI-03052	synonym	46,XY sex reversal partial or complete MAP3K1-related.
DI-03052	MIM_id	 613762
DI-03052	acronym	SRXY6.
DI-03052	MedGen_id	 C3151064.
DI-03052	MeSH_id	 D006061.
DI-01379	canonical	46,XY sex reversal 7.
DI-01379	definition	A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females. SRXY7 patients have no functional gonads.
DI-01379	synonym	46,XY gonadal dysgenesis, partial or complete, DHH-related.
DI-01379	synonym	46,XY sex reversal, partial or complete, DHH-related.
DI-01379	synonym	Complete pure gonadal dysgenesis 46,XY type.
DI-01379	synonym	GDXYM.
DI-01379	synonym	Male-limited gonadal dysgenesis 46,XY.
DI-01379	MIM_id	 233420
DI-01379	acronym	SRXY7.
DI-01379	MedGen_id	 C1856273.
DI-01379	MedGen_id	 CN068862.
DI-01379	MeSH_id	 D006061.
DI-03279	canonical	46,XY sex reversal 8.
DI-03279	definition	A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females.
DI-03279	synonym	Male pseudohermaphroditism due to deficiency of testicular 17,20-desmolase.
DI-03279	synonym	TDD.
DI-03279	MIM_id	 614279
DI-03279	acronym	SRXY8.
DI-03279	MedGen_id	 C1839840.
DI-03279	MeSH_id	 D006061.
DI-04251	canonical	46,XY sex reversal 9.
DI-04251	definition	A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females or have ambiguous external genitalia.
DI-04251	synonym	46,XY sex reversal, ZFPM2-related.
DI-04251	MIM_id	 616067
DI-04251	acronym	SRXY9.
DI-04251	MedGen_id	 CN220529.
DI-04251	MeSH_id	 D006061.
DI-03412	canonical	5-oxoprolinase deficiency.
DI-03412	definition	A disorder characterized by calcium oxalate/carbonate urolithiasis, and excessive urinary 5-oxo-L-proline. Affected individuals have recurrent episodes of vomiting, diarrhea, and abdominal pain.
DI-03412	synonym	Oxoprolinuria due to oxoprolinase deficiency.
DI-03412	MIM_id	 260005
DI-03412	acronym	OPLAHD.
DI-03412	MedGen_id	 C0268525.
DI-03412	MeSH_id	 D000592.
DI-01163	canonical	Aaland island eye disease.
DI-01163	definition	A retinal disease characterized by a combination of fundus hypopigmentation, decreased visual acuity due to foveal hypoplasia, nystagmus, astigmatism, protan color vision defect, myopia, and defective dark adaptation. Except for progression of axial myopia, the disease can be considered to be a stationary condition. Electroretinography reveals abnormalities in both photopic and scotopic functions.
DI-01163	synonym	Aland island eye disease.
DI-01163	synonym	Forsius-Eriksson type ocular albinism.
DI-01163	MIM_id	 300600
DI-01163	acronym	AIED.
DI-01163	MedGen_id	 C0268505.
DI-01163	MeSH_id	 D014786.
DI-00012	canonical	Aarskog-Scott syndrome.
DI-00012	definition	A rare multisystemic disorder characterized by disproportionately short stature, and by facial, skeletal and urogenital anomalies. Some patients manifest mental retardation, attention deficit disorder and hyperactivity.
DI-00012	synonym	Faciodigitogenital syndrome.
DI-00012	synonym	Faciogenital dysplasia.
DI-00012	synonym	Faciogenital dysplasia with attention deficit-hyperactivity disorder.
DI-00012	MIM_id	 305400
DI-00012	acronym	AAS.
DI-00012	MedGen_id	 C0175701.
DI-00012	MedGen_id	 C1844569.
DI-00012	MedGen_id	 C3275558.
DI-00012	MedGen_id	 CN069557.
DI-00012	MeSH_id	 D001289.
DI-00013	canonical	ABCD syndrome.
DI-00013	definition	An autosomal recessive syndrome characterized by albinism, black lock at temporal occipital region, bilateral deafness, aganglionosis of the large intestine and total absence of neurocytes and nerve fibers in the small intestine.
DI-00013	synonym	Albinism, black lock, cell migration disorder of the neurocytes of the gut and deafness.
DI-00013	keyword	KW-0015:Albinism.
DI-00013	keyword	KW-0209:Deafness.
DI-00013	keyword	KW-0367:Hirschsprung disease.
DI-00013	MIM_id	 600501
DI-00013	acronym	ABCDS.
DI-00013	MedGen_id	 C1838099.
DI-00013	MedGen_id	 C3179507.
DI-00013	MeSH_id	 D014849.
DI-04090	canonical	Abdominal obesity-metabolic syndrome 3.
DI-04090	definition	A form of abdominal obesity-metabolic syndrome, a disorder characterized by abdominal obesity, high triglycerides, low levels of high density lipoprotein cholesterol, high blood pressure, and elevated fasting glucose levels. AOMS3 is characterized by early-onset coronary artery disease, central obesity, hypertension, and diabetes.
DI-04090	synonym	Central obesity, type 2 diabetes, hypertension, and early-onset coronary artery disease.
DI-04090	keyword	KW-0219:Diabetes mellitus.
DI-04090	keyword	KW-0550:Obesity.
DI-04090	MIM_id	 615812
DI-04090	acronym	AOMS3.
DI-04090	MedGen_id	 CN188185.
DI-04090	MeSH_id	 D024821.
DI-00014	canonical	Abetalipoproteinemia.
DI-00014	definition	An autosomal recessive disorder of lipoprotein metabolism. Affected individuals produce virtually no circulating apolipoprotein B- containing lipoproteins (chylomicrons, VLDL, LDL, lipoprotein(A)). Malabsorption of the antioxidant vitamin E occurs, leading to spinocerebellar and retinal degeneration.
DI-00014	synonym	Acanthocytosis.
DI-00014	synonym	Bassen-Kornzweig syndrome.
DI-00014	synonym	Microsomal triglyceride transfer protein deficiency.
DI-00014	synonym	MTP deficiency.
DI-00014	MIM_id	 200100
DI-00014	acronym	ABL.
DI-00014	MedGen_id	 C0000744.
DI-00014	MeSH_id	 D000012.
DI-04542	canonical	Ablepharon-macrostomia syndrome.
DI-04542	definition	A congenital ectodermal dysplasia characterized by absent eyelids, macrostomia, microtia, redundant skin, sparse hair, dysmorphic nose and ears, variable abnormalities of the nipples, genitalia, fingers, and hands, largely normal intellectual and motor development, and poor growth.
DI-04542	keyword	KW-0038:Ectodermal dysplasia.
DI-04542	MIM_id	 200110
DI-04542	acronym	AMS.
DI-04542	MedGen_id	 C1860224.
DI-04542	MeSH_id	 D005124.
DI-04542	MeSH_id	 D008265.
DI-00015	canonical	Abnormal thyroid hormone metabolism.
DI-00015	definition	A disorder associated with a reduction in type II iodothyronine deiodinase activity.
DI-00015	MIM_id	 609698
DI-00015	acronym	ATHYHM.
DI-00015	MedGen_id	 C1864761.
DI-00015	MeSH_id	 D013959.
DI-03763	canonical	Abruzzo-Erickson syndrome.
DI-03763	definition	A disease characterized by cleft palate, coloboma, hypospadias, deafness, short stature, and radial synostosis.
DI-03763	synonym	X-linked Charge-like syndrome.
DI-03763	keyword	KW-0209:Deafness.
DI-03763	keyword	KW-0242:Dwarfism.
DI-03763	MIM_id	 302905
DI-03763	acronym	ABERS.
DI-03763	MedGen_id	 C1844862.
DI-03763	MeSH_id	 D006314.
DI-03763	MeSH_id	 D017880.
DI-03763	MeSH_id	 D019767.
DI-00016	canonical	Acatalasemia.
DI-00016	definition	A metabolic disorder characterized by a total or near total loss of catalase activity in red cells. It is often associated with ulcerating oral lesions.
DI-00016	synonym	Acatalasia.
DI-00016	synonym	Catalase deficiency.
DI-00016	synonym	Takahara disease.
DI-00016	synonym	Takahara's disease.
DI-00016	MIM_id	 614097
DI-00016	acronym	ACATLAS.
DI-00016	MedGen_id	 C0268419.
DI-00016	MeSH_id	 D020642.
DI-00017	canonical	Aceruloplasminemia.
DI-00017	definition	An autosomal recessive disorder of iron metabolism characterized by iron accumulation in the brain as well as visceral organs. Clinical features consist of the triad of retinal degeneration, diabetes mellitus and neurological disturbances.
DI-00017	MIM_id	 604290
DI-00017	acronym	ACERULOP.
DI-00017	MedGen_id	 C0878682.
DI-00017	MedGen_id	 C1858582.
DI-00017	MedGen_id	 C1858583.
DI-00017	MeSH_id	 D019189.
DI-01164	canonical	Acetyl-CoA carboxylase 1 deficiency.
DI-01164	definition	An inborn error of de novo fatty acid synthesis associated with severe brain damage, persistent myopathy and poor growth.
DI-01164	synonym	ACAC deficiency.
DI-01164	synonym	ACACA deficiency.
DI-01164	synonym	ACC deficiency.
DI-01164	synonym	ACC1 deficiency.
DI-01164	MIM_id	 613933
DI-01164	acronym	ACACAD.
DI-01164	MedGen_id	 C0268603.
DI-01164	MeSH_id	 D008052.
DI-00018	canonical	Achalasia-addisonianism-alacrima syndrome.
DI-00018	definition	An autosomal recessive disorder characterized by adreno-corticotropic hormone (ACTH)-resistant adrenal failure, achalasia of the esophageal cardia and alacrima. The syndrome is associated with variable and progressive neurological impairment involving the central, peripheral, and autonomic nervous system. Other features such as palmoplantar hyperkeratosis, short stature, facial dysmorphy and osteoporosis may also be present.
DI-00018	synonym	ACTH-resistant adrenal insufficiency with achalasia and alacrima.
DI-00018	synonym	Addisonian-achalasia syndrome.
DI-00018	synonym	Alacrima-achalasia-addisonianism.
DI-00018	synonym	Alacrima-achalasia-adrenal insufficiency neurologic disorder.
DI-00018	synonym	Allgrove syndrome.
DI-00018	synonym	Allgrove's syndrome.
DI-00018	synonym	Glucocorticoid deficiency and achalasia.
DI-00018	synonym	Hypoadrenalism with achalasia.
DI-00018	synonym	Triple-A syndrome.
DI-00018	MIM_id	 231550
DI-00018	acronym	AAAS.
DI-00018	MedGen_id	 C0271742.
